supplier,name,sku,unit,price
El Rodeo,TOLEDO JAMON FAMILIAR 400GR,ER-001,unidad,0
El Rodeo,KING MORTADELA CORRIENTE 454.G,ER-002,unidad,0
El Rodeo,KING MORTADELA VIENA 454.G,ER-003,unidad,0
El Rodeo,MISTER KING SALCHICHA DE PAVO EXTRA GRANDE,ER-004,unidad,0
El Rodeo,LACTOLAC QUESO MOZZARELLA 10/1/14 REBANADAS,ER-005,unidad,0
El Rodeo,QUESO BLANDO LIBRA,ER-006,libra,0
El Rodeo,LACTOSA QUESO CRAFF BARRA 3LB,ER-007,unidad,0
El Rodeo,CARNE POSTA NEGRA DE RES,ER-008,libra,0
El Rodeo,CARNE MOLIDA DE RES PREMIUM,ER-009,libra,0
El Rodeo,POLLO INDIO SEPARADITOS PECHUGA DESHUESADA,ER-010,libra,0
El Rodeo,DE LA FAMILIA CONSOME POLLO LB 28/400G,ER-011,unidad,0
Todito,BOLSA DE PAPEL KRAFT#5 FONDO CUADRADO 10,TO-001,paquete,0
Todito,BOLSA DE PAPEL KRAFT#6 FONDO CUADRADO 10,TO-002,paquete,0
Todito,BOLSA DE PAPEL KRAFT#8 FONDO CUADRADO 10,TO-003,paquete,0
Todito,BOLSA TERMO 6X10 PAQ100UN,TO-004,paquete,0
Todito,BOLSA TERMO 7X11./120,TO-005,paquete,0
Todito,BOLSA TERMO 8X12 1/100/500,TO-006,paquete,0
Todito,PLIEGO GENERICO SANDWICH ROJO 5/100,TO-007,paquete,0
Todito,PLIEGO GENERICO SANDWICH AZUL 5/100,TO-008,paquete,0
Todito,PLIEGO EMPAKALO DELUXE B 5/100,TO-009,paquete,0
Todito,VASO 8ONZ CAFE CARTON C/TAPA NEGRA 50,TO-010,paquete,0
Todito,VASO Y TAPA 16 ONZ FRUTAS AXBEN 20X50,TO-011,paquete,0
Todito,VASO SOUFFLE DYNA 4OZ 25/100,TO-012,paquete,0
Todito,PORTION CUP 1OZ DARC 25X100,TO-013,paquete,0
Todito,SERVILLETA CUSCATLECA 10/100,TO-014,paquete,0
Todito,PAJILLAS BIOPOP FORRADA 50/50,TO-015,paquete,0
Todito,REMOVEDOR DE CAFE BLANCO 1/10,TO-016,paquete,0
Todito,PALILLOS PREMIER 144X500,TO-017,paquete,0
Todito,AZUCAR SOBRE 150U.CO-IND.,TO-018,caja,0
Todito,SAL SOBRE CO-IND,TO-019,caja,0
Todito,RINSO 140X30 FLORES DEL VERANO,TO-020,caja,0
Todito,LEJIA MAXI SOL POPULINO,TO-021,unidad,0
Todito,JABON DOÑA BLANCA 250GRS,TO-022,unidad,0
Todito,SAVON ALCOHOL GEL GALON,TO-023,galon,0
Todito,DES.GENIAL GAL.CANELA,TO-024,galon,0
Todito,GUANTE NITRILO NEGRO L CAJAX100UNID,TO-025,caja,0
Todito,GUANTE PICME,TO-026,caja,0
Todito,TENEDOR GDE.PLASTICO DON PEPE 40X25,TO-027,caja,0
Todito,CUCHARA ROBERPAC GDE. BLANCA 40/25,TO-028,caja,0
Todito,DISPENSADOR,TO-029,unidad,0
Pricemart,ARROZ BLANCO 25LB,PM-001,saco,0
Pricemart,AZUCAR 10LB,PM-002,saco,0
Pricemart,ACEITE VEGETAL 1L,PM-003,caja,0
Pricemart,HARINA DE TRIGO 5LB,PM-004,saco,0
Pricemart,PAPEL HIGIENICO 12U,PM-005,paquete,0
Pricemart,DETERGENTE 1KG,PM-006,paquete,0
Pricemart,CLORO 1L,PM-007,botella,0
Pricemart,SERVILLETAS 100U,PM-008,paquete,0
Pricemart,LECHE ENTERA 1L,PM-009,caja,0
Pricemart,CAFE MOLIDO 1LB,PM-010,bolsa,0
